date,cumulative cases,cumulative deaths
2020-03-16,2,0
2020-03-17,2,0
2020-03-18,3,0
2020-03-19,8,0
2020-03-20,14,0
2020-03-21,26,0
2020-03-22,27,0
2020-03-23,29,0
2020-03-24,39,0
2020-03-25,69,0
2020-03-26,71,0
2020-03-27,92,2
2020-03-28,115,2
2020-03-29,128,2
2020-03-30,148,5
2020-03-31,174,7
2020-04-01,214,7
2020-04-02,241,8
2020-04-03,270,12
2020-04-04,321,13
2020-04-05,354,14
2020-04-06,384,15
2020-04-07,426,17
2020-04-08,488,20
2020-04-09,558,22
2020-04-10,597,24
2020-04-11,698,24
2020-04-12,755,26
2020-04-13,813,28
2020-04-14,838,33
2020-04-15,921,38
2020-04-16,1042,41
2020-04-17,1127,41
2020-04-18,1197,42
2020-04-19,1206,42
2020-04-20,1282,43
2020-04-21,1321,48
2020-04-22,1340,49
2020-04-23,1360,52
2020-04-24,1540,58
2020-04-25,1637,59
2020-04-26,1716,59
2020-04-27,1769,59
2020-04-28,1873,60
2020-04-29,1977,62
2020-04-30,2141,71
2020-05-01,2292,73
2020-05-02,2373,73
2020-05-03,2423,73
2020-05-04,2474,73
2020-05-05,2559,79
2020-05-06,2654,85
2020-05-07,2757,88
2020-05-08,2876,96
2020-05-09,2973,98
2020-05-10,3122,100
2020-05-11,3204,102
2020-05-12,3245,103
2020-05-13,3392,119
2020-05-14,3632,127
2020-05-15,3740,127
2020-05-16,3912,140
2020-05-17,4002,140
2020-05-18,4071,142
2020-05-19,4153,144
2020-05-20,4253,146
2020-05-21,4434,147
2020-05-22,4529,149
2020-05-23,4633,153
2020-05-24,4689,156
2020-05-25,4794,157
2020-05-26,4842,158
2020-05-27,4944,159
2020-05-28,5044,167
2020-05-29,5145,231
2020-05-30,5250,241
2020-05-31,5348,246
2020-06-01,5479,248
2020-06-02,5533,252
2020-06-03,5661,259
2020-06-04,5730,264
2020-06-05,5808,269
2020-06-06,5918,274
2020-06-07,6020,277
2020-06-08,6110,277
2020-06-09,6150,285
2020-06-10,6275,292
2020-06-11,6378,298
2020-06-12,6470,303
2020-06-13,6546,307
2020-06-14,6611,311
2020-06-15,6625,311
2020-06-16,6672,319
2020-06-17,6747,322
2020-06-18,6832,324
