date,cumulative cases,cumulative deaths
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,1,0
2020-03-10,2,0
2020-03-11,2,0
2020-03-12,3,0
2020-03-13,4,0
2020-03-14,9,0
2020-03-15,14,0
2020-03-16,26,0
2020-03-17,38,0
2020-03-18,52,0
2020-03-19,61,0
2020-03-20,94,0
2020-03-21,120,0
2020-03-22,141,1
2020-03-23,223,1
2020-03-24,255,1
2020-03-25,323,1
2020-03-26,365,1
2020-03-27,451,2
2020-03-28,574,2
2020-03-29,689,2
2020-03-30,788,4
2020-03-31,902,5
2020-04-01,984,7
2020-04-02,1065,7
2020-04-03,1268,7
2020-04-04,1423,8
2020-04-05,1593,8
2020-04-06,1666,13
2020-04-07,1733,13
2020-04-08,1818,13
2020-04-09,1968,13
2020-04-10,2092,17
2020-04-11,2214,18
2020-04-12,2313,18
2020-04-13,2372,18
2020-04-14,2419,19
2020-04-15,2541,20
2020-04-16,2677,21
2020-04-17,2809,23
2020-04-18,2945,25
2020-04-19,3078,27
2020-04-20,3227,28
2020-04-21,3315,32
2020-04-22,3456,34
2020-04-23,3617,35
2020-04-24,3773,39
2020-04-25,3953,41
2020-04-26,4135,41
2020-04-27,4243,41
2020-04-28,4338,45
2020-04-29,4485,45
2020-04-30,4662,46
2020-05-01,4818,46
2020-05-02,4974,49
2020-05-03,5162,50
2020-05-04,5296,50
2020-05-05,5425,56
2020-05-06,5582,59
2020-05-07,5709,61
2020-05-08,5904,61
2020-05-09,6089,66
2020-05-10,6237,67
2020-05-11,6353,68
2020-05-12,6426,73
2020-05-13,6609,76
2020-05-14,6737,76
2020-05-15,6900,77
2020-05-16,7054,78
2020-05-17,7223,80
2020-05-18,7371,80
2020-05-19,7508,88
2020-05-20,7707,90
2020-05-21,7868,92
2020-05-22,8061,93
2020-05-23,8248,97
2020-05-24,8388,97
2020-05-25,8520,98
2020-05-26,8614,101
2020-05-27,8699,105
2020-05-28,8934,106
2020-05-29,9264,107
2020-05-30,9536,112
2020-05-31,9801,113
2020-06-01,9999,113
2020-06-02,10202,113
2020-06-03,10497,117
2020-06-04,10813,117
2020-06-05,11252,120
2020-06-06,11798,121
2020-06-07,12066,121
2020-06-08,12322,124
2020-06-09,12559,127
2020-06-10,12864,128
2020-06-11,13252,131
2020-06-12,13577,139
2020-06-13,13981,139
2020-06-14,14313,139
2020-06-15,14608,143
2020-06-16,14937,145
2020-06-17,15344,149
2020-06-18,15839,152
2020-06-19,16425,155
